phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,overlap_frac,single_latency_ms_p50,predicted_dual_latency_ms_p50,predicted_speedup_single_over_dual,dual_wins,scenario_label
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,0.25,1.082203,10.815844256042098,0.10005719150360774,False,dual_die_optimized|mlp|B1|S1024|D1024
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,0.5,1.082203,7.305136504028066,0.14814274851719353,False,dual_die_optimized|mlp|B1|S1024|D1024
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,0.75,1.082203,3.7944287520140327,0.28520841231386435,False,dual_die_optimized|mlp|B1|S1024|D1024
kernel,dual_die_optimized,mlp,1,1024,0,0,1024,16,0.9,1.082203,1.688004100805613,0.6411139638129494,False,dual_die_optimized|mlp|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.0,0.236601,14.176856491701063,0.016689242790776854,False,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.25,0.236601,10.849544868775798,0.021807458548876137,False,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.5,0.236601,7.522233245850531,0.03145355804149194,False,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.75,0.236601,4.194921622925266,0.056401768916724083,False,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,rmsnorm,1,1024,0,0,1024,16,0.9,0.236601,2.1985346491701057,0.1076175897838641,False,dual_die_naive|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.0,0.236601,14.116004491701062,0.01676118763911559,False,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.25,0.236601,10.788692868775797,0.02193046023997598,False,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.5,0.236601,7.461381245850531,0.031710080507088415,False,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.75,0.236601,4.134069622925265,0.05723198242427791,False,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_optimized,rmsnorm,1,1024,0,0,1024,16,0.9,0.236601,2.137682649170106,0.11068106862908467,False,dual_die_optimized|rmsnorm|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.0,0.301001,14.911738008056131,0.02018550754026009,False,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.25,0.301001,11.401030256042098,0.02640121052573133,False,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.5,0.301001,7.890322504028066,0.03814812383731297,False,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.75,0.301001,4.3796147520140325,0.06872773452541234,False,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_naive,out_proj,1,1024,0,0,1024,16,0.9,0.301001,2.273190100805613,0.1324134747434128,False,dual_die_naive|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.0,0.301001,14.237631008056132,0.021141227766731944,False,dual_die_optimized|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.25,0.301001,10.726923256042099,0.028060329398782332,False,dual_die_optimized|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.5,0.301001,7.2162155040280656,0.041711753180317626,False,dual_die_optimized|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.75,0.301001,3.7055077520140327,0.081230703089583,False,dual_die_optimized|out_proj|B1|S1024|D1024
kernel,dual_die_optimized,out_proj,1,1024,0,0,1024,16,0.9,0.301001,1.599083100805613,0.18823349446214313,False,dual_die_optimized|out_proj|B1|S1024|D1024
